Severity,Date/Time,Latitude,Longitude,City,State,Number,Street,Description
4,2017-03-01 01:19:32,41.156,-105.4003,Laramie,WY,,I-80 W,Closed between Vedauwoo Rd/Exit 329 and WY-210/Happy Jack Road/Exit 323 - Road closed due to accident.
4,2017-08-07 01:10:19,42.561,-106.7253,Casper,WY,,Alcova Ave,Closed at US-287/WY-789 - Road closed due to accident.
4,2016-10-06 23:13:47,44.5261,-109.0557,Cody,WY,1631, Sheridan Ave,Closed between US-14A/16th St and WY-343 - Road closed due to accident.
4,2019-01-11 09:49:05,41.6774,-108.7777,Rock Springs,WY,,I-80 E,Closed between CR-415/9 Mile Rd/Exit 130 and Black Butte Road/Exit 136 - Road closed due to accident.
4,2019-12-26 06:08:03,43.2355,-108.1106,Shoshoni,WY,101, W 2nd St,Closed between Idaho St and Pershing Ave - Road closed due to accident.
2,2020-10-21 18:53:00,43.8317,-110.4177,Moran,WY,,US-26 E,Accident on US-287 from Buffalo Valley Rd (US-287) to Rams Horn St (US-287).
3,2019-08-16 05:40:39,42.2276,-105.0209,Wheatland,WY,,I-25 N,At US-26/Exit 92 - Accident.
3,2018-04-17 08:08:39,41.308,-110.7311,Fort Bridger,WY,,US-189 N,Left lane blocked due to accident on I-80 Westbound at Exit 18 US-189.
4,2019-02-11 18:54:17,43.0767,-111.0119,Etna,WY,2, County Road 108,Closed at Star Valley Ranch - Road closed due to accident.
3,2016-11-18 00:55:46,41.6401,-108.4833,Wamsutter,WY,,I-80 W,Between Patrick Draw Road/Exit 146 and Black Butte Road/Exit 136 - Accident.
3,2018-11-25 01:22:49,41.7773,-107.2238,Rawlins,WY,,S Higley Blvd,Entry ramp to I-80 Eastbound from S Higley Blvd both ways closed due to winter storm.
4,2018-06-19 15:33:38,43.7374,-108.4009,Thermopolis,WY,1213, State Highway 120,Closed between WY-170 and CR-3LE/Burlington-Meeteetsee Rd - Road closed due to accident. Lane blocked.
2,2016-07-29 07:43:56,41.6458,-108.5821,Rock Springs,WY,,US-30 E,At Bitter Creek Road/Exit 142 - Accident.
2,2019-07-23 15:38:49,41.0967,-105.1808,Granite Canon,WY,,I-80 W,At Remount Rd/Exit 339 - Accident. Left lane blocked.
