State,Severity,Year,Month,Day,Counter
AL,2,2019,January,26,11
AL,2,2019,January,27,2
AL,2,2019,January,28,33
AL,2,2019,January,29,17
AL,2,2019,January,30,21
AL,2,2019,January,31,26
AL,2,2019,July,01,18
AL,2,2019,July,02,22
AL,2,2019,July,03,33
AL,2,2019,July,04,13
AL,2,2019,July,05,21
AL,2,2019,July,06,3
AL,2,2019,July,07,7
AL,2,2019,July,08,31
AL,2,2019,July,09,22
AL,2,2019,July,10,23
AL,2,2019,July,11,21
AL,2,2019,July,12,37
AL,2,2019,July,13,16
AL,2,2019,July,14,9
AL,2,2019,July,15,24
AL,2,2019,July,16,20
AL,2,2019,July,17,23
AL,2,2019,July,18,30
AL,2,2019,July,19,36
AL,2,2019,July,20,14
AL,2,2019,July,21,13
AL,2,2019,July,22,19
AL,2,2019,July,23,26
AL,2,2019,July,24,24
AL,2,2019,July,25,19
AL,2,2019,July,26,17
AL,2,2019,July,27,3
AL,2,2019,July,28,3
AL,2,2019,July,29,12
AL,2,2019,July,30,12
AL,2,2019,July,31,20
AL,2,2019,June,01,7
AL,2,2019,June,02,5
AL,2,2019,June,03,24
AL,2,2019,June,04,21
AL,2,2019,June,05,22
AL,2,2019,June,06,25
AL,2,2019,June,07,29
AL,2,2019,June,08,8
AL,2,2019,June,09,2
AL,2,2019,June,10,14
AL,2,2019,June,11,19
AL,2,2019,June,12,19
AL,2,2019,June,13,26
AL,2,2019,June,14,20
AL,2,2019,June,15,10
AL,2,2019,June,16,8
AL,2,2019,June,17,27
AL,2,2019,June,18,23
AL,2,2019,June,19,30
AL,2,2019,June,20,17
AL,2,2019,June,21,28
AL,2,2019,June,22,18
AL,2,2019,June,23,24
AL,2,2019,June,24,22
AL,2,2019,June,25,30
AL,2,2019,June,26,23
AL,2,2019,June,27,25
AL,2,2019,June,28,38
AL,2,2019,June,29,6
AL,2,2019,June,30,15
AL,2,2019,March,01,28
AL,2,2019,March,02,6
AL,2,2019,March,03,3
AL,2,2019,March,04,24
AL,2,2019,March,05,21
AL,2,2019,March,06,28
AL,2,2019,March,07,28
AL,2,2019,March,08,33
AL,2,2019,March,09,7
AL,2,2019,March,10,3
AL,2,2019,March,11,26
AL,2,2019,March,12,27
AL,2,2019,March,13,25
AL,2,2019,March,14,23
AL,2,2019,March,15,30
AL,2,2019,March,16,1
AL,2,2019,March,17,5
AL,2,2019,March,18,11
AL,2,2019,March,19,33
AL,2,2019,March,20,38
AL,2,2019,March,21,35
AL,2,2019,March,22,37
AL,2,2019,March,23,7
AL,2,2019,March,24,7
AL,2,2019,March,25,29
AL,2,2019,March,26,23
AL,2,2019,March,27,36
AL,2,2019,March,28,21
AL,2,2019,March,29,32
AL,2,2019,March,30,6
AL,2,2019,March,31,3
AL,2,2019,May,01,15
AL,2,2019,May,02,28
AL,2,2019,May,03,29
AL,2,2019,May,04,8
AL,2,2019,May,05,7
AL,2,2019,May,06,16
AL,2,2019,May,07,35
AL,2,2019,May,08,25
AL,2,2019,May,09,23
AL,2,2019,May,10,24
AL,2,2019,May,11,8
AL,2,2019,May,12,7
AL,2,2019,May,13,19
AL,2,2019,May,14,22
AL,2,2019,May,15,22
AL,2,2019,May,16,25
AL,2,2019,May,17,33
AL,2,2019,May,18,5
AL,2,2019,May,19,5
AL,2,2019,May,20,22
AL,2,2019,May,21,22
AL,2,2019,May,22,32
AL,2,2019,May,23,24
AL,2,2019,May,24,32
AL,2,2019,May,25,8
AL,2,2019,May,26,5
AL,2,2019,May,27,11
AL,2,2019,May,28,25
AL,2,2019,May,29,26
AL,2,2019,May,30,27
AL,2,2019,May,31,26
AL,2,2019,November,01,34
AL,2,2019,November,02,13
AL,2,2019,November,03,5
AL,2,2019,November,04,26
AL,2,2019,November,05,26
AL,2,2019,November,06,23
AL,2,2019,November,07,35
AL,2,2019,November,08,26
AL,2,2019,November,09,12
AL,2,2019,November,10,8
AL,2,2019,November,11,19
AL,2,2019,November,12,22
AL,2,2019,November,13,53
AL,2,2019,November,14,39
AL,2,2019,November,15,15
AL,2,2019,November,16,8
AL,2,2019,November,17,7
AL,2,2019,November,18,21
AL,2,2019,November,19,25
AL,2,2019,November,20,27
AL,2,2019,November,21,25
AL,2,2019,November,22,36
AL,2,2019,November,23,11
AL,2,2019,November,24,7
AL,2,2019,November,25,25
AL,2,2019,November,26,23
AL,2,2019,November,27,40
AL,2,2019,November,28,4
AL,2,2019,November,29,25
AL,2,2019,November,30,4
AL,2,2019,October,01,33
AL,2,2019,October,02,24
AL,2,2019,October,03,21
AL,2,2019,October,04,16
AL,2,2019,October,05,13
AL,2,2019,October,06,4
AL,2,2019,October,07,20
AL,2,2019,October,08,19
AL,2,2019,October,09,17
AL,2,2019,October,10,17
AL,2,2019,October,11,32
AL,2,2019,October,12,15
AL,2,2019,October,13,11
AL,2,2019,October,14,24
AL,2,2019,October,15,41
AL,2,2019,October,16,50
